"Model","Region","Response","op","Predictor","Effect","se","pvalue"
"Original","South","pzoop","~","temp",0.0584,0.0992,0.556
"Original","South","pzoop","~","turbid",0.1789,0.1126,0.1122
"Original","South","pzoop","~","hzoop",0.2498,0.1378,0.0699
"Original","South","fish","~","hzoop",0.2223,0.1215,0.0674
"Original","South","fish","~","pzoop",-0.0993,0.1171,0.3965
"Original","South","fish","~","corbic",0.1903,0.1045,0.0687
"Original","South","fish","~","flow",-0.0907,0.0885,0.3055
"Original","South","fish","~","temp",0.0248,0.0873,0.7764
"Original","South","fish","~","turbid",0.793,0.0815,0
"Original","South","fish","=~","estfish",0.9197,0.0391,0
"Original","South","fish","=~","estfish_stn",0.7627,0.0666,0
"Original","South","fish","=~","estfish_bsmt",0.5866,0.1038,0
"Original","South","estfish","~~","estfish",0.1541,0.0719,0.032
"Original","South","estfish_stn","~~","estfish_stn",0.4184,0.1017,0
"Original","South","estfish_bsmt","~~","estfish_bsmt",0.6559,0.1217,0
"Original","South","chla","~~","chla",0.7242,0.1117,0
"Original","South","hzoop","~~","hzoop",0.465,0.1014,0
"Original","South","pzoop","~~","pzoop",0.3575,0.0875,0
"Original","South","fish","~~","fish",0.1401,0.0697,0.0446
"Original","South","corbic","~~","corbic",1,0,NA
"Original","South","corbic","~~","flow",0.1955,0,NA
"Original","South","corbic","~~","temp",-0.1689,0,NA
"Original","South","corbic","~~","turbid",0.4043,0,NA
"Original","South","flow","~~","flow",1,0,NA
"Original","South","flow","~~","temp",-0.2199,0,NA
"Original","South","flow","~~","turbid",0.2303,0,NA
"Original","South","temp","~~","temp",1,0,NA
"Original","South","temp","~~","turbid",-0.2027,0,NA
"Original","South","turbid","~~","turbid",1,0,NA
"Detrended","West","chla","~","potam",0.1777,0.1564,0.2561
"Detrended","West","chla","~","flow",0.629,0.169,2e-04
"Detrended","West","chla","~","temp",-0.3245,0.1323,0.0142
"Detrended","West","chla","~","turbid",-0.4176,0.1692,0.0136
"Detrended","West","hzoop","~","chla",0.465,0.1246,2e-04
"Detrended","West","hzoop","~","potam",-0.0135,0.1356,0.9209
"Detrended","West","hzoop","~","flow",0.4639,0.1757,0.0083
"Detrended","West","hzoop","~","temp",-0.0253,0.1265,0.8416
"Detrended","West","hzoop","~","turbid",-0.4554,0.1529,0.0029
"Detrended","West","pzoop","~","chla",0.511,0.11,0
"Detrended","West","pzoop","~","potam",0.0231,0.1007,0.8182
"Detrended","West","pzoop","~","flow",-0.3177,0.1464,0.03
"Detrended","West","pzoop","~","temp",-0.0381,0.0939,0.6847
"Detrended","West","pzoop","~","turbid",-0.0044,0.1316,0.9733
"Detrended","West","pzoop","~","hzoop",0.4955,0.1149,0
"Detrended","West","fish","~","hzoop",0.06,0.1613,0.7099
"Detrended","West","fish","~","pzoop",0.2951,0.1481,0.0463
"Detrended","West","fish","~","potam",-0.1331,0.1141,0.2436
"Detrended","West","fish","~","flow",0.803,0.1571,0
"Detrended","West","fish","~","temp",-0.0622,0.1055,0.5558
"Detrended","West","fish","~","turbid",-0.0269,0.1502,0.8579
"Detrended","West","fish","=~","estfish",0.702,0.0813,0
