"","group","energy_density_j_per_g_wet_mass_mean","energy_density_j_per_g_wet_mass_sd"
"1","Amphipods",3722.088,291.76575513929
"2","Cladoceran",1343.062137575,177.086450531965
"3","Herbivorous Copepoda",3420.96152142857,388.199978556606
"4","Mysids",3301.15472,482.028017646855
"5","Predatory Copepoda",4119.70210666667,23.2636435749889
"6","Rotifers",1500.775705,76.3466537386641
