Group,Species,,Author,Year,Title
Herbivorous Copepoda,calanus helgolandicus,correct,Paffenhofer,1971,"Grazing and ingestion rates of nauplii, copepodids and adults of the marine planktonic copepod Calanus helgolandicus"
Herbivorous Copepoda,calanus finmarchicus,correct,Conover,1960,The Feeding Behavior and Respiration of Some Marine Planktonic Crustacea
Herbivorous Copepoda,calanus hyperboreus,correct,Conover,1960,The Feeding Behavior and Respiration of Some Marine Planktonic Crustacea
Herbivorous Copepoda,calanus finmarchicus,correct,Conover,1960,The Feeding Behavior and Respiration of Some Marine Planktonic Crustacea
Predatory Copepoda ,Calanus cristatus,correct,landray,1988,BEHAVIORAL AND MORPHOLOGICAL INFLUENCES ON PREDATORY INTERACTIONS AMONG MARINE COPEPODS
Predatory Copepoda ,Calanus plumchrus,correct,Cowen,1982,Overwintering strategies of the calanoid copepod Calanus plumchrus in a periodically anoxic British Columbia fjord
Predatory Copepoda ,Calanus pacificus,correct,,,Several sources of wikipedia page
