"Taxonomic.Category","Taxname","energy_density_j_per_g_dry_mass"
"Amphipods","Americorophium spinicorne",17122.5
"Amphipods","Americorophium stimpsoni",17122.5
"Amphipods","Ampelisca abdita",17122.5
"Amphipods","Corophium alienense",17122.5
"Amphipods","Gammarus daiberi",17200
"Amphipods","Hyalella",17122.5
"Calanoid Copepod","Acartia",25380.3527272727
"Calanoid Copepod","Acartiella sinensis",25380.3527272727
"Calanoid Copepod","Diaptomidae",23903.61
"Calanoid Copepod","Eurytemora affinis",26555.54
"Calanoid Copepod","Pseudodiaptomus",25380.3527272727
"Calanoid Copepod","Pseudodiaptomus forbesi",25380.3527272727
"Calanoid Copepod","Pseudodiaptomus marinus",25380.3527272727
"Calanoid Copepod","Sinocalanus doerrii",25380.3527272727
"Calanoid Copepod","Tortanus",25380.3527272727
"Cirripedia","Cirripedia",25340.4557142857
"Cladoceran","Bosmina longirostris",26363.26
"Cladoceran","Daphnia",19149.178666
"Cladoceran","Diaphanosoma",19813.2
"Copepod Nauplii","Copepoda",24918.7847058824
"Cyclopoid","Acanthocyclops",22898.04
"Cyclopoid","Limnoithona",24839.52
"Cyclopoid","Limnoithona sinensis",22586.5
"Cyclopoid","Limnoithona tetraspina",23234.4
"Cyclopoid","Oithona",22898.04
"Cyclopoid","Oithona davisae",22898.04
"Cyclopoid","Oithona similis",22898.04
"Harpacticoid","Harpacticoida",23219.9
"Mysids","Hyperacanthomysis longirostris",20632.217
"Mysids","Neomysis mercedis",20632.217
"Rotifers","Asplanchna",19472.53
"Rotifers","Keratella",19472.53
"Rotifers","Polyarthra",19472.53
"Rotifers","Synchaeta",19472.53
"Rotifers","Trichocerca",19472.53
