"","group","energy_density_j_per_g_dry_mass_mean","energy_density_j_per_g_dry_mass_sd"
"1","Amphipods",16382.4295774648,1284.18026029617
"2","Cladoceran",21206.2442775,2796.1018505047
"3","Herbivorous Copepoda",25340.4557142857,2875.5553967156
"4","Mysids",20632.217,3012.67511029284
"5","Predatory Copepoda",22950.9866666667,129.602471169855
"6","Rotifers",19472.53,990.596063337625
