"Station","Latitude","Longitude","Region"
"323",38.0483055555556,-122.282805555556,"San Pablo Bay"
"340",38.0975,-122.262194444444,"San Pablo Bay"
"405",38.0396944444444,-122.1505,"Suisun Bay"
"411",38.0513055555556,-122.083305555556,"Suisun Bay"
"418",38.0648055555556,-122.097805555556,"Suisun Bay"
"501",38.0725,-122.025194444444,"Suisun Bay"
"504",38.0545,-121.9895,"Suisun Bay"
"508",38.0455,-121.918805555556,"Suisun Bay"
"513",38.0583055555556,-121.868,"Suisun Bay"
"519",38.0723055555556,-121.959694444444,"Suisun Bay"
"520",38.0328055555556,-121.869305555556,"Suisun Bay"
"602",38.114,-122.046194444444,"Confluence"
"606",38.1694722222222,-122.025666666667,"Confluence"
"609",38.1671944444444,-121.938,"Confluence"
"610",38.1188055555556,-121.889194444444,"Confluence"
"704",38.0691666666667,-121.775277777778,"Confluence"
"706",38.0851944444444,-121.750694444444,"Confluence"
"707",38.1135,-121.7075,"Confluence"
"711",38.1788055555556,-121.665305555556,"Confluence"
"801",38.0436944444444,-121.844,"Confluence"
"804",38.0181944444444,-121.797,"Confluence"
"809",38.0525,-121.689194444444,"Confluence"
"812",38.0903055555556,-121.6405,"Confluence"
"815",38.08,-121.569805555556,"Confluence"
"902",38.0191944444444,-121.582194444444,"Confluence"
"906",38.0516944444444,-121.509,"Confluence"
"910",38.0018055555556,-121.448694444444,"Confluence"
"912",37.966,-121.367305555556,"Confluence"
"914",37.9715,-121.52,"Confluence"
"915",37.9425,-121.5635,"Confluence"
"918",37.8593055555556,-121.568805555556,"Confluence"
"919",38.1048055555556,-121.492,"Confluence"
