Station,Latitude,Longitude,Survey
NZ092,37.97833333333333,-121.38194444444444,EMP zooplantkon
NZD28,37.98277777777778,-121.57722222222222,EMP zooplantkon
NZ054,38.045833333333334,-121.9063888888889,EMP zooplantkon
NZ074,38.02222222222222,-121.80361111111111,EMP zooplantkon
NZM10,38.04361111111111,-121.4263888888889,EMP zooplantkon
NZ048,38.059999999999995,-121.99583333333334,EMP zooplantkon
NZD16,38.09722222222222,-121.66666666666667,EMP zooplantkon
NZ086,38.07777777777778,-121.57027777777778,EMP zooplantkon
NZ064,38.084722222222226,-121.73805555555556,EMP zooplantkon
NZ060,38.06444444444444,-121.82888888888888,EMP zooplantkon
NZ028,38.117222222222225,-122.04722222222222,EMP zooplantkon
NZS42,38.18055555555555,-122.04722222222222,EMP zooplantkon
NZ032,38.17027777777778,-122.02083333333333,EMP zooplantkon
NZD41,38.03055555555555,-122.37083333333332,EMP zooplantkon
NZD06,38.044444444444444,-122.11666666666666,EMP zooplantkon
