"Station","Latitude","Longitude","Survey"
"D4-L",38.0581151,-121.8193499,"EMP Benthic"
"D6-R",38.0577031,-122.1149585,"EMP Benthic"
"D7-C",38.1171292,-122.0395539,"EMP Benthic"
"D16-L",38.093031,-121.6697445,"EMP Benthic"
"D28A-L",37.9701652,-121.5741188,"EMP Benthic"
"D24-L",38.1547193,-121.6814495,"EMP Benthic"
"D41-C",38.0160546,-122.3647171,"EMP Benthic"
"D41A-C",38.0847167,-122.3906667,"EMP Benthic"
