"Year","Mean_outflow_CY","Mean_inflow_CY","Mean_YOLO_CY","Mean_SAC_CY","Mean_Export_CY","Mean_outflow_WY","Mean_inflow_WY","Mean_YOLO_WY","Mean_SAC_WY","Mean_Export_WY","Chlorophyll","DissAmmonia","DissNitrateNitrite","DissOrthophos","DissSilica","DON","Salinity","Secchi","Temperature","TKN","TotPhos","Temperature_model","corbicula_cpue","potamocorbula_cpue","FMWT_fish_catch_per_tow_AmericanShad","FMWT_fish_catch_per_tow_PacificHerring","FMWT_fish_catch_per_tow_ThreadfinShad","FMWT_fish_catch_per_tow_NorthernAnchovy","FMWT_fish_catch_per_tow_DeltaSmelt","FMWT_fish_catch_per_tow_StripedBass_age0","FMWT_fish_catch_per_tow_LongfinSmelt","FMWT_fish_catch_per_tow_Estuarine_pelagic_forage_fishes","FMWT_fish_catch_per_tow_Marine_pelagic_forage_fishes","FMWT_fish_biomass_AmericanShad","FMWT_fish_biomass_PacificHerring","FMWT_fish_biomass_ThreadfinShad","FMWT_fish_biomass_NorthernAnchovy","FMWT_fish_biomass_DeltaSmelt","FMWT_fish_biomass_StripedBass_age0","FMWT_fish_biomass_LongfinSmelt","FMWT_fish_biomass_Estuarine_pelagic_forage_fishes","FMWT_fish_biomass_Marine_pelagic_forage_fishes","BayStudy_MidwaterTrawl_fish_catch_per_tow_AmericanShad","BayStudy_MidwaterTrawl_fish_catch_per_tow_PacificHerring","BayStudy_MidwaterTrawl_fish_catch_per_tow_ThreadfinShad","BayStudy_MidwaterTrawl_fish_catch_per_tow_NorthernAnchovy","BayStudy_MidwaterTrawl_fish_catch_per_tow_DeltaSmelt","BayStudy_MidwaterTrawl_fish_catch_per_tow_StripedBass_age0","BayStudy_MidwaterTrawl_fish_catch_per_tow_LongfinSmelt","BayStudy_MidwaterTrawl_fish_catch_per_tow_Estuarine_pelagic_forage_fishes","BayStudy_MidwaterTrawl_fish_catch_per_tow_Marine_pelagic_forage_fishes","BayStudy_MidwaterTrawl_fish_biomass_AmericanShad","BayStudy_MidwaterTrawl_fish_biomass_PacificHerring","BayStudy_MidwaterTrawl_fish_biomass_ThreadfinShad","BayStudy_MidwaterTrawl_fish_biomass_NorthernAnchovy","BayStudy_MidwaterTrawl_fish_biomass_DeltaSmelt","BayStudy_MidwaterTrawl_fish_biomass_StripedBass_age0","BayStudy_MidwaterTrawl_fish_biomass_LongfinSmelt","BayStudy_MidwaterTrawl_fish_biomass_Estuarine_pelagic_forage_fishes","BayStudy_MidwaterTrawl_fish_biomass_Marine_pelagic_forage_fishes","BayStudy_OtterTrawl_fish_catch_per_tow_AmericanShad","BayStudy_OtterTrawl_fish_catch_per_tow_PacificHerring","BayStudy_OtterTrawl_fish_catch_per_tow_ThreadfinShad","BayStudy_OtterTrawl_fish_catch_per_tow_NorthernAnchovy","BayStudy_OtterTrawl_fish_catch_per_tow_DeltaSmelt","BayStudy_OtterTrawl_fish_catch_per_tow_StripedBass_age0","BayStudy_OtterTrawl_fish_catch_per_tow_LongfinSmelt","BayStudy_OtterTrawl_fish_catch_per_tow_Estuarine_pelagic_forage_fishes","BayStudy_OtterTrawl_fish_catch_per_tow_Marine_pelagic_forage_fishes","BayStudy_OtterTrawl_fish_biomass_AmericanShad","BayStudy_OtterTrawl_fish_biomass_PacificHerring","BayStudy_OtterTrawl_fish_biomass_ThreadfinShad","BayStudy_OtterTrawl_fish_biomass_NorthernAnchovy","BayStudy_OtterTrawl_fish_biomass_DeltaSmelt","BayStudy_OtterTrawl_fish_biomass_StripedBass_age0","BayStudy_OtterTrawl_fish_biomass_LongfinSmelt","BayStudy_OtterTrawl_fish_biomass_Estuarine_pelagic_forage_fishes","BayStudy_OtterTrawl_fish_biomass_Marine_pelagic_forage_fishes","Cladoceran_BPUE","Herbivorous_Copepods_BPUE","Mysida_BPUE","Predatory_Copepods_BPUE"
1977,3688.07945205479,7993.71232876712,1.11780821917808,7548.38356164384,2877.74520547945,3421.42739726027,8226.72602739726,1.81095890410959,7608.30136986301,3074.8,20.09765,NA,0.64475,0.1034,13.7889447236181,0.259550561797753,5.76569319236804,58.3383838383838,18.21,0.538071065989848,0.18815,16.2501956981382,1490.38461538462,0,1.16496791898578,0.123286379769299,16.7309388528139,39.9265870775188,1.30075371057514,2.79120710638568,0.590003265799073,22.5778708545595,40.0498734572881,17457.7876753904,705.163116592468,132188.818503324,5206.47306222528,1108.65394216887,19151.6121381679,3274.07981198692,173180.952071038,5911.63617881775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323759.718,552487.565,2466370.48905339,9947.8176
1978,30666.6328767123,38143.1671232877,3928.89315068493,25638.0821917808,6763.33424657534,29438.0849315068,36050.1780821918,3927.96712328767,24362.3287671233,6133.77260273973,10.0653968253968,NA,0.454473684210526,0.09825,13.5847368421053,0.351396648044693,1.99672744873529,36.1069518716578,18.0157894736842,0.577894736842105,0.198740157480315,16.2685673604775,1243.76299376299,0,4.29688049880437,0.127281414237936,3.85834286220316,36.0230739703908,0.954894169206144,7.92546991759477,12.1382079183401,29.1737953661486,36.1503553846288,50206.6146439905,1348.31960219245,29913.2935679534,186250.968970973,1553.70716770764,48786.9468788847,48128.6245844813,178589.186843017,187599.288573165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224691.024,1092518.11946,13061656.1107382,9323.0592
1979,16570.2219178082,23929.4712328767,281.161643835616,18792.0547945205,6588.04109589041,15750.5150684932,23156.2410958904,202.454794520548,17953.4246575342,6350.86849315069,10.0929213483146,0.0811290322580645,0.413814432989691,0.0900847457627119,14.2492307692308,0.313157894736842,2.35430571906301,42.0531914893617,17.6820512820513,0.574358974358974,0.17135593220339,16.6657284052934,1095.1825951826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349883.58,1581756.71233,10389793.9131846,978.432
1980,37685.1475409836,45361.9453551913,8652.29781420765,25809.2896174863,6432.98087431694,38731.3606557377,46031.4972677596,8728.80054644809,26576.2295081967,6402.37158469945,8.7635,0.0657425742574257,0.311144278606965,0.0741880341880342,11.9571428571429,0.219306930693069,3.31857471522428,48.2582417582418,17.1477832512315,0.458128078817734,0.146239316239316,15.7340830274618,1239.58333333333,0,8.79026443742139,1.26959156132088,12.9954178601265,66.5416510885731,4.61253597592883,4.46055210975324,54.1790434763649,85.0378138595949,67.811242649894,119856.593087159,4759.21151171993,108851.016189705,395327.117339096,13115.0874087147,27077.9538235609,159708.302939666,428608.953448806,400086.328850816,0.497205616253235,1.22783483546426,0.175728500355366,6.81034932092196,0.514927048260382,0.919849839175115,5.31679004484067,7.42450104888477,8.03818415638623,15244.2073661577,1656.2967956709,2073.94265486056,36756.2254240226,837.689829862177,4034.9339100217,7279.10202964001,29469.8757905421,38412.5222196935,0.0317460317460317,0.465009416195857,0.03125,1.05808080808081,0.347101449275362,1.18289136219004,5.18796165330819,6.78095049651962,1.52309022427667,319.562804046254,450.561559589876,378.658339993352,4175.17790799133,406.602941868019,5803.30727269987,5114.80317015857,12022.9345287661,4625.7394675812,264130.542,1574854.40348,19600516.900474,24180.5088
1981,19375.5835616438,26609.3863013699,2555.15068493151,21412.9315068493,6323.91506849315,10875.1369863014,18875.4712328767,171.580821917808,15868.7397260274,6671.12054794521,8.17308510638298,0.102796208530806,0.458047619047619,0.104755244755245,13.2704225352113,0.261904761904762,4.75574928121731,59.300518134715,18.3962264150943,0.520952380952381,0.177272727272727,16.7817269603842,1604.16666666667,0,2.80574494949495,0.0939107461166285,11.9743897559024,82.1479041995586,1.17130352140856,8.67843615516382,4.43805196320953,29.0679263451792,82.2418149456753,43102.9750830781,615.619610771831,103624.902160199,31490.4437639452,2610.60584323875,68344.0860973024,30906.3529133626,248588.922097181,32106.063374717,0.719920634920635,0.734853801169591,0.0303030303030303,16.4975552970848,0.677835298629086,1.76354810809576,1.50161420500404,4.69322127695255,17.2324090982544,10050.1031374535,854.641686090589,202.827658356887,42199.56027547,1709.66149257176,5282.05172941688,6469.12875598277,23713.7727737818,43054.2019615606,0,0.275627687612706,0,1.70180826694237,0.302223331958226,2.4170883068494,0.859401457532299,3.57871309633992,1.97743595455507,0,458.414845988598,0,4131.02867316926,580.298621827339,6670.70829680661,3023.4697731562,10274.4766917902,4589.44351915786,187917.954,908007.82514,13159437.4858816,25813.2336
1982,58497.1095890411,65165.1260273973,8538.03287671233,41810.6849315068,6845.94520547945,56506.9698630137,63073.2630136986,9841.40547945205,41503.9178082192,6511.84109589041,8.30048913043478,0.0785641025641026,0.323959390862944,0.0725757575757576,12.3994897959184,0.207216494845361,2.11553148348073,46.3595505617978,16.7766497461929,0.432323232323232,0.144924242424242,15.3636683006747,2094.08386752137,0,8.14129305638419,3.99435401761079,3.95854775184465,91.9858311732744,1.39314829001776,10.0389257154262,98.710243368289,122.242158181962,95.9801851908852,55908.4453846512,1889.88204899729,49145.3078244881,26552.5611761343,1297.73845750424,63874.3457684613,122891.468521514,293117.305956619,28442.4432251316,2.20259919254527,2.91726947209356,0.102353585112206,17.7057984257523,0.368421052631579,4.69811806696067,12.7418304760677,20.1133223733174,20.6230678978458,20785.485904008,4683.73021037851,415.483779202203,47324.2709276325,807.592813470915,11090.480817571,9087.54148933868,42186.5848035909,52008.001138011,0.0436507936507936,0.686803444782168,0,0.618771566597654,0.157224418093983,1.71324944876358,7.55526047721862,9.46938513772698,1.30557501137982,772.04702988605,757.567294638853,0,2420.21447980594,302.253811164098,6745.47636115804,6133.03030131915,13952.8075035273,3177.7817744448,130596.954,964238.76209,27664272.3572501,52374.9408
1983,98011.6630136986,102973.657534247,24336.2219178082,49907.6712328767,5080.29589041096,88767.5150684932,94949.2767123288,20504.1150684931,46895.6164383562,6205.99452054795,4.750546875,0.0657692307692308,0.294384615384615,0.0550819672131148,12.88,0.197674418604651,1.2530466586743,45.5128205128205,16.0153846153846,0.413846153846154,0.117786885245902,16.0135691100433,1822.94170673077,0,5.88570969148529,0.0675503897211058,5.49273523885839,95.1076414261357,0.534585056848827,18.5449530175656,13.6409625353765,44.0989455401346,95.1751918158568,30008.8841997829,962.023990065759,36092.8210516319,78500.6449481031,1039.52085162172,109489.648392798,43381.2302206904,220012.104716525,79462.6689381688,1.22572362278245,0.254166666666667,0.602231949950213,10.008356095985,0.533377250768555,2.34917364233161,1.54318144184016,6.25368790767298,10.2625227626516,5160.20093502238,517.69116178764,3793.10915607456,28049.5518223453,961.659165530277,8931.4702568341,7789.51279699264,26635.952310454,28567.242984133,0.0912280701754386,0.0591397849462366,0.0121212121212121,0.894957983193277,0.178441127694859,4.22622213763896,1.02501282203022,5.53302536966069,0.954097768139514,432.586247765498,177.694699821633,119.013786785606,2293.69391766325,245.745077218299,13004.5028682004,3177.43856567463,16979.2865456444,2471.38861748488,202656.756,572071.92347,3136506.43515316,51140.88
1984,26012.9508196721,34237.6338797814,1868.91256830601,24947.8142076503,6783.27868852459,42151.0710382514,48774.3633879781,6551.16666666667,31019.1256830601,5472.24043715847,8.10542682926829,0.0783333333333333,0.393575757575758,0.0757575757575758,12.6006622516556,0.22638036809816,3.69814967175794,56.9241379310345,17.7515151515152,0.436363636363636,0.134090909090909,16.4808304106666,1885.0827991453,0,1.67149993835918,0.0383905044231131,1.64743143744103,72.7508468555406,0.522552006913877,11.4406224042647,12.9343771637992,28.216482950778,72.7892373599637,3199.84366983576,22.1742531593128,592.501847078816,3524.42403424347,349.461960404984,111584.216638772,16025.4633238194,131751.487439911,3546.59828740278,0.910522538041918,3.52062083503332,0.178571428571429,16.1248750697125,0.328115942028986,1.63136823386911,1.17087195891544,4.21945010142688,19.6454959047458,4655.59601778438,1851.41350352565,2206.42432070203,89751.3011756326,1054.53512342099,7171.84665911301,6145.83298923589,21234.2351102563,91602.7146791583,0.0218253968253968,0.149253731343284,0.0116959064327485,0.651453349502076,0.0338983050847458,2.7577555709131,1.28322852001799,4.10840369927399,0.80070708084536,172.841316082734,129.178720634708,126.169870146244,3639.20909587581,77.7741121791597,11383.0595270588,3307.366893905,15067.2117193719,3768.38781651052,262474.38,1214579.28177,19474809.5564118,198587.1552
1985,7482.02465753425,16838.4438356164,35.7260273972603,13859.9452054795,7994.99178082192,11611.2273972603,20677.9643835616,236.679452054795,16860.3287671233,7753.4904109589,7.61025252525253,0.116633165829146,0.506212121212121,0.101428571428571,12.6698492462312,0.246464646464646,4.34262496708232,72.7458563535912,17.41,0.529145728643216,0.158818897637795,15.8022529465917,1282.85256410256,0,4.02638434161543,0.097859977324263,1.94287274884701,52.607825005002,0.319580610021787,6.74386381841511,2.67171284549173,15.7044143643911,52.7056849823263,51439.0944205528,465.971534504355,12207.1417828806,129797.527970251,770.953436321007,61720.3136104913,14260.7490322631,140398.252282509,130263.499504755,0.398099660196434,3.67119200340599,0.0384615384615385,18.5738678230825,0.0871794871794872,0.616211484593837,1.27992262670104,2.41987479713234,22.2450598264885,3859.07071419567,2910.15432569797,394.367041832909,75948.1699252729,403.893769700504,3601.25581855265,5832.20531911645,14090.7926633982,78858.3242509709,0.0243055555555556,0.293839381679024,0.0104166666666667,1.19483787585053,0,1.28353941101444,0.842219688517824,2.16048132175449,1.48867725752956,480.734017186894,749.977405734667,81.5615482681702,3764.94264201617,0,7441.77617889974,2646.49950172351,10650.5712460783,4514.92004775084,478330.086,823263.92939,19848772.7800669,76817.8992
1986,41596.8109589041,49669.0465753425,13962.3424657534,25202.7397260274,7234.6904109589,40950.1534246575,48832.6657534247,13975.6575342466,24784.2739726027,7505.12328767123,8.08159509202454,0.0884662576687117,0.415833333333333,0.0818115942028985,11.55,0.264285714285714,3.29669894833603,49.1111111111111,17.3529411764706,0.521176470588235,0.155,16.2853535339653,596.36517328825,0,3.57656596235332,0.045757977103885,5.01636843143054,80.7924713363606,0.625688760352626,9.48157557983668,14.1319265568546,32.8321252908278,80.8382293134645,22810.6455680578,1649.94790780948,20637.8894411591,20713.6228913162,1101.80730387218,50851.3927240268,12638.1552607013,108039.890297817,22363.5707991257,0.600437528668713,2.48410774410774,0.0790960451977401,7.89343626621545,0.507482031342053,3.08752851147144,1.53999773100948,5.81454184768942,10.3775440103232,10000.5905992183,2336.44018936666,849.346524089975,34055.2265030736,989.042194130536,7482.21993531437,4280.27404802674,23601.4733007799,36391.6666924403,0.00694444444444444,0.0666666666666667,0,0.789072327044025,0.139393939393939,1.76568094929862,0.969302200751476,2.88132153388848,0.855738993710692,58.1175275166072,59.5424676676323,0,3906.55295157927,364.123492733657,4852.2889049185,1841.58268658729,7116.11261175605,3966.0954192469,341323.782,1026100.32585,24459522.874451,71419.8576
