"Region","Year","Amphipoda_CPUE","Amphipoda_BPUE"
"North",1975,2863.78205128205,164.635802972761
"North",1977,21.9017094017094,0.494768422568213
"North",1978,239.583333333333,16.8815764116395
"North",1979,2772.1688034188,239.829069965004
"North",1980,2188.87362637363,148.044914679384
"North",1981,727.519586894587,54.7230082476727
"North",1982,1014.42307692308,67.9571523851067
"North",1983,780.788655788656,56.8824015022287
"North",1984,1802.21688034188,138.720276972604
"North",1985,761.412198912199,61.1204192400151
"North",1986,1016.60839160839,67.9107026282592
"North",1987,181.267806267806,16.1429115366798
"North",1988,21.2218337218337,1.92486922258609
"North",1989,13.1944444444444,1.5739865305331
"North",1990,30.3596866096866,4.23036004191501
"North",1991,112.980769230769,12.788220797741
"North",1992,39.8860398860399,3.43046343037712
"North",1993,223.691239316239,21.551227284886
"North",1994,254.896723646724,23.6404154701579
"North",1995,353.587962962963,37.4163895360288
"North",1996,120.629370629371,10.7445187916618
"North",1997,370.492788461538,39.2716774031887
"North",1998,422.008547008547,38.5605770682303
"North",1999,460.83733974359,41.134826797232
"North",2000,412.025908119658,42.0305023686536
"North",2001,208.26655982906,19.3666509459301
"North",2002,533.9087995338,46.3251913723295
"North",2003,751.041666666667,76.1325699442718
"North",2004,202.023237179487,16.8488972441102
"North",2005,275.774572649573,26.7156563018493
"North",2006,530.315170940171,54.9451944694228
"North",2007,822.215544871795,76.8063494972211
"North",2008,338.341346153846,34.7863976903454
"North",2009,481.770833333333,48.7146092872057
"North",2010,971.020299145299,98.7219543445347
"North",2011,936.631944444444,86.7936707057847
"North",2012,1025.7077991453,104.604742275296
"North",2013,824.285523504274,92.3260818984856
"North",2014,266.593215811966,32.3312307631709
"North",2015,59.1613247863248,5.8564411407908
"North",2016,280.148237179487,26.4689381181086
"North",2017,725.994925213675,66.1730057601931
"North",2018,373.430822649573,35.6133977563329
"North",2019,765.691773504274,63.6050726753864
"North",2020,625.31160968661,56.3506857006231
"South",1977,0.801282051282051,0.0572722517502103
"South",1979,797.542735042735,71.1745058832882
"South",1980,180.326617826618,12.0596397456794
"South",1981,194.756054131054,14.4570164599308
"South",1982,127.003205128205,9.50542012168959
"South",1983,6.94444444444444,0.484421215442311
"South",1984,131.098646723647,9.46805813888843
"South",1985,70.998445998446,5.26125319031695
"South",1986,217.317404817405,16.7580417845301
"South",1987,210.42556980057,16.5202885042456
"South",1988,82.710113960114,9.45900785430975
"South",1989,8.60636277302944,0.835597110272505
"South",1990,61.2980769230769,7.17198061625503
"South",1991,182.789432789433,18.62211826949
"South",1992,119.702635327635,15.6935868773122
"South",1993,81.1520655270655,7.5835513293695
"South",1994,333.867521367521,34.6724909137474
"South",1995,36.4138176638177,4.32251097097737
"South",1996,33.1530448717949,3.41782009015091
"South",1997,49.3122329059829,6.66812236913954
"South",1998,162.660256410256,17.6820202213648
"South",1999,59.0945512820513,6.06358992065815
"South",2000,27.9447115384615,3.14631809206161
"South",2001,149.038461538462,14.2656482590985
"South",2002,91.9805021367521,10.0814216969509
"South",2003,121.794871794872,15.8080389875554
"South",2004,40.2644230769231,4.33993399577859
"South",2005,33.9209401709402,3.78531818888849
"South",2006,238.648504273504,28.6417739276799
"South",2007,189.035790598291,20.5806288840597
"South",2008,183.126335470085,18.9257675711284
"South",2009,40.9989316239316,4.82363866504114
"South",2010,82.5988247863248,7.89742440160431
"South",2011,61.6653311965812,5.25852476527007
"South",2012,48.9115918803419,5.59897151501043
"South",2013,605.034722222222,59.2895256282196
"South",2014,261.585202991453,35.7894851595066
"South",2015,180.555555555556,18.7392401763794
"South",2016,88.5416666666667,7.75927872869941
"South",2017,86.5718482905983,8.6657308020802
"South",2018,115.75186965812,9.35160804070412
"South",2019,85.9708867521368,8.55383662967518
"South",2020,66.9070512820513,7.74062237878694
"West",1977,313.924501424501,12.3246660620606
"West",1978,2.93803418803419,0.209998256417438
"West",1979,0.267094017094017,0.0111717051349232
"West",1980,23.4279609279609,1.68683568567766
"West",1981,0.756766381766382,0.0502401829383417
"West",1982,373.085826210826,27.9003838084072
"West",1983,348.606254856255,23.8104699370949
"West",1984,461.894586894587,42.5999587555125
"West",1985,94.0656565656566,3.89654256961449
"West",1986,2.13675213675214,0.135017667779614
"West",1987,4.85220797720798,0.489158666910389
"West",1988,0.489672364672365,0.0281749318700978
"West",1989,0.213675213675214,0.015562581210079
"West",1990,3.73931623931624,0.140599838093419
"West",1991,6.21600621600622,0.293487638783588
"West",1992,54.7542735042735,1.9482410858334
"West",1993,35.4789886039886,1.5566651892531
"West",1994,249.510327635328,11.9699130098891
"West",1995,91.0547785547786,9.21032728069838
"West",1996,22.7272727272727,1.63096900157361
"West",1997,23.6044337606838,1.69026136348309
"West",1998,61.7988782051282,5.769779866356
"West",1999,34.4217414529915,1.86743011659703
"West",2000,164.396367521368,9.39926118615119
"West",2001,133.346688034188,6.85724521602946
"West",2002,118.756677350427,4.74167994389531
"West",2003,232.211538461538,11.4761330836171
"West",2004,186.498397435897,8.14511289501814
"West",2005,225.560897435897,9.41156035800653
"West",2006,241.452991452991,15.1978005704633
"West",2007,323.283920940171,15.580205058877
"West",2008,315.07077991453,13.8965247440838
"West",2009,288.060897435897,14.870888163799
"West",2010,375.734508547009,17.3209784523223
"West",2011,481.537126068376,27.2657136091547
"West",2012,541.499732905983,26.4031441737861
"West",2013,383.480235042735,18.0105827451824
"West",2014,416.332799145299,19.6751015917318
"West",2015,180.655715811966,9.91407892282215
"West",2016,383.146367521368,16.9455089231768
"West",2017,416.53311965812,26.4811524231689
