"Year","Mean_outflow_CY","Mean_inflow_CY","Mean_YOLO_CY","Mean_SAC_CY","Mean_Export_CY","Mean_outflow_WY","Mean_inflow_WY","Mean_YOLO_WY","Mean_SAC_WY","Mean_Export_WY","Chlorophyll","DissAmmonia","DissNitrateNitrite","Salinity","Secchi","Temperature","TotPhos","Temperature_model","FMWT_fish_catch_per_tow_AmericanShad","FMWT_fish_catch_per_tow_PacificHerring","FMWT_fish_catch_per_tow_ThreadfinShad","FMWT_fish_catch_per_tow_NorthernAnchovy","FMWT_fish_catch_per_tow_DeltaSmelt","FMWT_fish_catch_per_tow_StripedBass_age0","FMWT_fish_catch_per_tow_LongfinSmelt","FMWT_fish_catch_per_tow_Estuarine_pelagic_forage_fishes","FMWT_fish_catch_per_tow_Marine_pelagic_forage_fishes","FMWT_fish_biomass_AmericanShad","FMWT_fish_biomass_PacificHerring","FMWT_fish_biomass_ThreadfinShad","FMWT_fish_biomass_NorthernAnchovy","FMWT_fish_biomass_DeltaSmelt","FMWT_fish_biomass_StripedBass_age0","FMWT_fish_biomass_LongfinSmelt","FMWT_fish_biomass_Estuarine_pelagic_forage_fishes","FMWT_fish_biomass_Marine_pelagic_forage_fishes","BayStudy_MidwaterTrawl_fish_catch_per_tow_AmericanShad","BayStudy_MidwaterTrawl_fish_catch_per_tow_PacificHerring","BayStudy_MidwaterTrawl_fish_catch_per_tow_ThreadfinShad","BayStudy_MidwaterTrawl_fish_catch_per_tow_NorthernAnchovy","BayStudy_MidwaterTrawl_fish_catch_per_tow_DeltaSmelt","BayStudy_MidwaterTrawl_fish_catch_per_tow_StripedBass_age0","BayStudy_MidwaterTrawl_fish_catch_per_tow_LongfinSmelt","BayStudy_MidwaterTrawl_fish_catch_per_tow_Estuarine_pelagic_forage_fishes","BayStudy_MidwaterTrawl_fish_catch_per_tow_Marine_pelagic_forage_fishes","BayStudy_MidwaterTrawl_fish_biomass_AmericanShad","BayStudy_MidwaterTrawl_fish_biomass_PacificHerring","BayStudy_MidwaterTrawl_fish_biomass_ThreadfinShad","BayStudy_MidwaterTrawl_fish_biomass_NorthernAnchovy","BayStudy_MidwaterTrawl_fish_biomass_DeltaSmelt","BayStudy_MidwaterTrawl_fish_biomass_StripedBass_age0","BayStudy_MidwaterTrawl_fish_biomass_LongfinSmelt","BayStudy_MidwaterTrawl_fish_biomass_Estuarine_pelagic_forage_fishes","BayStudy_MidwaterTrawl_fish_biomass_Marine_pelagic_forage_fishes","BayStudy_OtterTrawl_fish_catch_per_tow_AmericanShad","BayStudy_OtterTrawl_fish_catch_per_tow_PacificHerring","BayStudy_OtterTrawl_fish_catch_per_tow_ThreadfinShad","BayStudy_OtterTrawl_fish_catch_per_tow_NorthernAnchovy","BayStudy_OtterTrawl_fish_catch_per_tow_DeltaSmelt","BayStudy_OtterTrawl_fish_catch_per_tow_StripedBass_age0","BayStudy_OtterTrawl_fish_catch_per_tow_LongfinSmelt","BayStudy_OtterTrawl_fish_catch_per_tow_Estuarine_pelagic_forage_fishes","BayStudy_OtterTrawl_fish_catch_per_tow_Marine_pelagic_forage_fishes","BayStudy_OtterTrawl_fish_biomass_AmericanShad","BayStudy_OtterTrawl_fish_biomass_PacificHerring","BayStudy_OtterTrawl_fish_biomass_ThreadfinShad","BayStudy_OtterTrawl_fish_biomass_NorthernAnchovy","BayStudy_OtterTrawl_fish_biomass_DeltaSmelt","BayStudy_OtterTrawl_fish_biomass_StripedBass_age0","BayStudy_OtterTrawl_fish_biomass_LongfinSmelt","BayStudy_OtterTrawl_fish_biomass_Estuarine_pelagic_forage_fishes","BayStudy_OtterTrawl_fish_biomass_Marine_pelagic_forage_fishes","DJFMP_fish_catch_per_seine_Silverside","DJFMP_fish_biomass_Silverside","Cladoceran_BPUE","Herbivorous_Copepods_BPUE","Mysids_BPUE","Predatory_Copepods_BPUE","Rotifers_BPUE","Corbicula_cpue","Potamocorbula_cpue","Amphipoda_cpue"
1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.92598130161155,0.138400814871403,15.5360310790983,26.780303030303,1.15672935841003,61.0308490062692,115.930557829192,201.580148574581,26.9187038451744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13332999866613,0.0515873015873016,8.85013838868881,40.5276277177538,1.89274376417234,11.0584850606909,9.63065226090436,33.5653494731226,40.5792150193411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.94544901293851,0,7.1172302254235,2.84126984126984,0.803884053621449,22.9599464785914,56.5439884287048,94.3704981992797,2.84126984126984,NA,NA,NA,NA,NA,133398.423054192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,44885.6794520548,48723.2657534247,12100.7890410959,30664.3835616438,3208.82465753425,41567.1835616438,45646.7342465753,11689.6821917808,27888.2191780822,2988.0602739726,NA,NA,NA,NA,NA,NA,NA,NA,1.59102504638219,0.0357142857142857,6.93075912183055,5.10487012987013,4.58864409400124,22.5783317872604,6.70234230055659,42.3911023500309,5.14058441558442,NA,NA,NA,NA,NA,149914.253339124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,25881.6246575342,31666.8575342466,881.145205479452,27525.4794520548,4251.08493150685,32068.2520547945,37117.098630137,1827.80547945205,31589.8630136986,4019.05753424658,NA,NA,NA,NA,NA,NA,NA,NA,2.26352040816327,0.114285714285714,8.38777829313544,29.2448051948052,3.4906462585034,24.0010487528345,28.8457560296846,66.9887497423212,29.3590909090909,18630.018569548,NA,NA,NA,NA,130063.565213372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,13743.7049180328,20412.9890710382,126.713114754098,18329.781420765,5223.1174863388,12646.7540983607,19323.0245901639,40.5,17246.9945355191,4877.32240437158,NA,NA,NA,NA,NA,NA,NA,NA,0.669416099773243,0.0361008039579468,5.7868661100804,4.67783189033189,3.34835600907029,16.0287329073043,1.4310348381777,27.264405964406,4.71393269428984,3480.27694848702,NA,NA,NA,NA,109401.555004695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337748.762,2203973.5988,3247401.77461384,221895.8784,2047282.4042,NA,NA,NA
1973,40840.8767123288,46290.3643835616,6988.60547945206,33517.8082191781,4860.33698630137,33679.9863013699,39035.0219178082,5300.06301369863,28516.4383561644,4798.29863013699,NA,NA,NA,NA,NA,NA,NA,NA,2.29706049086301,0.519557823129252,1.33497273909564,16.6045213918901,4.34955315459517,15.2389401564822,13.6739260287448,36.8944525697808,17.1240792150193,14516.0950467079,0,NA,9453.01233461551,NA,111098.920926862,NA,NA,9453.01233461551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145689.58,1191548.1252,3945871.58497394,66391.1808,1803411.1162,NA,NA,NA
1974,45005.1123287671,52081.5068493151,8697.33150684932,37436.4383561644,5737.56712328767,51691.2821917808,58786.4931506849,10465.3780821918,42344.1095890411,6138.01917808219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528966.746,1521216.81,5040697.331593,59957.9232,2256926.9358,NA,NA,NA
1975,26152.6136986301,34134.802739726,1292.06849315068,27378.6301369863,6668.95342465753,27474.7095890411,34182.3287671233,1299.84657534247,27447.1232876712,5493.80821917808,11.4459090909091,NA,0.303592814371258,1.15667061391293,40.627027027027,16.3527314686667,0.134224598930481,14.8941575885895,5.27435560714185,0.0623964169000934,1.48043084658106,4.67473447712418,2.17279689653639,14.2578130596644,7.04301637321595,30.2284127831397,4.73713089402428,56009.1523444272,344.583743948903,14822.1895548565,429.589038613183,2226.23231978267,74199.6825385702,19721.9512038586,166979.207961495,774.172782562086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214213.5,705526.2309,2011624.96766268,37254,1599579.0744,525.641025641026,0,1321.74556213018
1976,5380.32786885246,13059.2459016393,14.8469945355191,11553.7978142076,5899.00273224044,9009.4781420765,17596.3770491803,20.103825136612,15181.8852459016,6883.39890710382,16.5215656565657,NA,0.480051020408163,3.66967138690861,53.0710659898477,17.515722583187,0.21258883248731,16.3647754676332,0.70136827458256,0.0748299319727891,2.24876314162028,1.3327806122449,0.921745516388373,2.23785619142762,0.633874458874459,6.7436075828933,1.40761054421769,10082.4480388298,419.956196444641,203.872551469205,1190.97549931112,1359.68674615148,23098.6821308645,2902.12769684291,37646.817164158,1610.93169575576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,203366.982,1260426.3263,3374639.64139334,34762.8288,234929.1066,NA,NA,NA
