Year,Amphipods_BPUE,Cladoceran_BPUE,Herbivorous_Copepods_BPUE,Mysida_BPUE,Predatory_Copepods_BPUE,Amphipods_CPUE,Cladoceran_CPUE,Herbivorous_Copepods_CPUE,Mysida_CPUE,Predatory_Copepods_CPUE
1972,0,59227.842,1974572.764,25979214.19691075,221895.8784,0,98713.06999999999,556217.68,8151.1,66040.44
1973,0,73850.97,1096617.578,31566972.67979155,66391.1808,0,123084.95,308906.36,14236.99,19759.28
1974,0,146942.766,1363586.24,40325578.65274402,59957.9232,0,244904.61,384108.8,15418.64,17844.62
1975,0,84758.97,504146.6825,16092999.741301462,37254,0,141264.95,142013.15,11508.1,11087.5
1976,0,108108.432,698704.5745,26997117.131146703,34762.828799999996,0,180180.72,196818.19,11201.57,10346.08
1977,0,63969,507187.07999999996,2264959.711022383,2872.464,0,106615,142869.6,713.27,854.9
1978,0,27125.736,1077241.6053499999,14677584.299658645,8714.16,0,45209.56,303459.77999999997,6807.03,2593.5
1979,0,30415.037999999997,1242812.67324,11131001.678257313,978.4319999999999,0,50691.73,356527.52,7917.72,291.2
1980,0,146854.224,1241276.82166,21436782.469727483,1416.0068999999999,0,244757.04,358157.54,10513.84,3473.34
1981,0,24135.006,689933.6344699999,13921131.308636732,23472.989599999997,0,40225.01,195398.3,7090.61,7344.36
1982,0,69515.022,872386.8106,31320944.90801342,34971.9552,0,115858.37,252619.11,16206.45,10408.32
1983,0,156029.016,566263.57796,3410853.2105189245,39192.5037,0,260048.36000000002,165647.75,1363.22,23878.14
1984,0,106181.45999999999,988554.0913,20939139.37538582,35898.975,0,176969.1,284852.75,7313.68,24274.8
1985,0,74464.794,623067.3226099999,22340381.935481388,50957.3757,0,124107.99,178698.56,13819.53,89627.62
1986,0,45665.142,886567.32508,27717323.26930935,43152.2322,0,76108.57,253868.95,20692.27,18110.42
1987,0,54471.24,471051.55913999997,9251243.346950417,45339.8293,0,90785.40000000001,134775.48,4681.96,129677.59
1988,0,13027.53,230266.01736,4908324.921333684,23879.2309,0,21712.55,78521.38,3577.81,99976.5
1989,0,26582.106,1147113.2840800001,5787905.222482738,19604.9187,0,44303.51,699773.6,3365.27,56575.409999999996
1990,0,3337.218,816988.8772400001,3040268.481005667,34356.4364,0,5562.03,474842.5,2096.99,152598.22
1991,0,2129.778,608614.47149,4449389.720587421,26049.3658,0,3549.63,485405.25,2343.54,99252.13
1992,0,39482.598,707440.3586500001,1147945.993035805,69082.0003,0,65804.33,376037.61,403.87,311911.33
1993,0,21902.771999999997,844384.99681,3192688.842184137,27767.4663,0,36504.62,481144.92,1370.4,54270.73
1994,0,1646.748,184817.74923000002,738264.550832245,81455.65728,0,2744.58,134362.44,735.07,45086.93
1995,0,7034.298,201247.86357000002,338716.1224242236,42549.085739999995,0,11723.83,109338.25,437.21,16837.649999999998
1996,0,3361.7039999999997,236718.05246,519398.3129386618,37863.74042,0,5602.84,132574.93,872.9,14756.3
1997,0,1507.9859999999999,191566.3884,1078308.0058520525,63030.41738,0,2513.31,110481.89,1599.08,29599.31
1998,0,7379.334,408780.19455,843142.0647295102,40274.45172,0,12298.89,200426.35,2349.64,27666
1999,0,2601.636,341163.67689,2083435.5083454335,12005.234059999999,0,4336.06,265735.66,2305.8,4688.78
2000,0,1839,299779.41179,2454596.8702318794,12603.52122,0,3065,210890.98,2796.31,6372.34
2001,0,1119.96,141937.06024,1023481.0076332501,70890.64056,0,1866.6000000000001,219385.29,908.01,46369.22
2002,0,4912.182,206412.2457,1178284.600798193,57963.545699999995,0,8186.97,263435.21,1276.89,32522.93
2003,0,8783.4,208247.50405,954862.1881357547,62730.01094,0,14639,174954.3,1208.51,42292.35
2004,0,3326.604,238111.32999,947765.3666253908,81184.68493999999,0,5544.34,156756.12,639.78,53688.68
2005,0,1502.394,198229.25464,632787.1154061591,62640.31368,0,2503.99,164758.18,682.3000000000001,59882.26
2006,0,7403.646,275592.0244,715980.5735131463,81268.9436,0,12339.41,160029.71,1117.72,45147
2007,0,1002.564,288248.05665409705,267514.59108846507,72176.30417999999,0,1670.94,1453096,484.99,32279.07
2008,0,440.118,485100.6181755506,1594968.2506453055,89918.74347999999,0,733.53,2242120.56,1636.22,43174.13
2009,0,948.588,337617.9896123825,243668.72979432862,98612.98014,0,1580.98,1754413.64,412.92,49352.26
2010,0,1590.798,357418.90727825527,1234033.0815662197,61069.77792,0,2651.33,1292344.15,1515.9,27776.91
2011,0,5469.576,373632.9592084145,245912.1433629203,108181.88466,0,9115.96,802140.26,663.28,49733.77
2012,0,1343.6399999999999,452194.3022913837,880735.9856176077,61562.483759999996,0,2239.4,2443842.34,1203.39,29502.44
2013,0,3678.216,391117.3512187476,929667.3461376597,85200.18041999999,0,6130.36,2614977.06,1520.06,40256
2014,0,2269.0679999999998,502325.0087009128,856976.2371913852,88183.99144,13.39,3781.78,2817039.49,793.36,58024.07
2015,0,1515.126,469536.1319895054,1316314.534195106,88176.32119999999,128.99,2525.21,3355907.7,1428.82,54781.85
2016,0,7835.688,493444.5190217215,3410599.172724721,89755.44817999999,220.82,13059.48,3122409.1,2376.77,42860.32
2017,0,29199.138,753270.2461514431,3519927.048514343,110224.82952,224.52,48665.23,2933903.12,1814.17,46008.4
2018,0,3371.97,493227.365178691,1523940.9317796247,126423.76636,151.41,5619.95,2784566.82,1113.58,55795.04
2019,0,4767.125999999999,491226.4593975077,940712.5589561369,101798.76444,225.55,7945.21,2204742.18,777.44,43109.28
2020,0,1848.408,378175.2141347129,743893.1361444579,200437.62664,109.83,3080.68,2974650.04,710.56,94233.25
