"","Region","Year","Corbicula_cpue","Potamocorbula_cpue"
"1","North",1975,525.641025641026,0
"2","North",1977,19.2307692307692,0
"3","North",1978,38.4615384615385,0
"4","North",1979,961.538461538462,0
"5","North",1980,2315.01831501832,0
"6","North",1981,2691.7735042735,0
"7","North",1982,2159.72222222222,0
"8","North",1983,3743.58974358974,0
"9","North",1984,5113.24786324786,0
"10","North",1985,3772.14452214452,0
"11","North",1986,1184.73193473193,0
"12","North",1987,819.444444444444,1407.05128205128
"13","North",1988,160.839160839161,451.631701631702
"14","North",1989,194.230769230769,118.589743589744
"15","North",1990,627.136752136752,350.961538461538
"16","North",1991,165.598290598291,624.465811965812
"17","North",1992,145.299145299145,601.495726495727
"18","North",1993,99.8931623931624,527.777777777778
"19","North",1994,91.3461538461539,372.863247863248
"20","North",1995,544.337606837607,157.051282051282
"21","North",1996,1024.47552447552,18.7937062937063
"22","North",1997,1159.85576923077,165.865384615385
"23","North",1998,1747.19551282051,187.5
"24","North",1999,889.823717948718,92.1474358974359
"25","North",2000,573.317307692308,251.201923076923
"26","North",2001,145.032051282051,338.942307692308
"27","North",2002,185.751748251748,156.031468531469
"28","North",2003,168.269230769231,65.3846153846154
"29","North",2004,350.961538461538,558.894230769231
"30","North",2005,1004.80769230769,401.442307692308
"31","North",2006,1364.98397435897,101.762820512821
"32","North",2007,699.11858974359,127.403846153846
"33","North",2008,739.182692307692,380.208333333333
"34","North",2009,370.99358974359,237.179487179487
"35","North",2010,443.108974358974,307.291666666667
"36","North",2011,776.041666666667,154.647435897436
"37","North",2012,419.070512820513,107.371794871795
"38","North",2013,488.782051282051,445.51282051282
"39","North",2014,160.657051282051,850.160256410256
"40","North",2015,59.6955128205128,933.894230769231
"41","North",2016,99.3589743589744,103.365384615385
"42","North",2017,870.99358974359,2.80448717948718
"43","North",2018,774.839743589744,105.36858974359
"44","North",2019,1130.20833333333,106.570512820513
"45","North",2020,1005.34188034188,336.538461538462
"46","South",1977,1125,0
"47","South",1979,2240.38461538462,0
"48","South",1980,2849.81684981685,0
"49","South",1981,2063.56837606838,0
"50","South",1982,3986.11111111111,0
"51","South",1983,2554.1958041958,0
"52","South",1984,1469.01709401709,0
"53","South",1985,501.748251748252,0
"54","South",1986,680.06993006993,0
"55","South",1987,985.576923076923,0
"56","South",1988,1368.05555555556,0
"57","South",1989,1995.01424501425,0
"58","South",1990,3580.66239316239,0
"59","South",1991,1704.54545454545,0
"60","South",1992,1338.67521367521,0
"61","South",1993,3187.5,0
"62","South",1994,857.371794871795,0
"63","South",1995,1066.23931623932,0
"64","South",1996,735.977564102564,0
"65","South",1997,796.474358974359,0
"66","South",1998,1663.0608974359,0
"67","South",1999,1349.75961538462,0
"68","South",2000,703.125,0
"69","South",2001,521.233974358974,0
"70","South",2002,840.144230769231,0
"71","South",2003,692.307692307692,0
"72","South",2004,326.923076923077,0
"73","South",2005,489.583333333333,0
"74","South",2006,1438.70192307692,0
"75","South",2007,718.75,0
"76","South",2008,732.371794871795,0
"77","South",2009,1066.10576923077,0
"78","South",2010,1081.73076923077,0
"79","South",2011,554.086538461538,0
"80","South",2012,365.785256410256,0
"81","South",2013,782.852564102564,0
"82","South",2014,1059.69551282051,0
"83","South",2015,843.75,0
"84","South",2016,552.884615384615,0
"85","South",2017,838.942307692308,0
"86","South",2018,356.169871794872,0
"87","South",2019,372.596153846154,0
"88","South",2020,1572.11538461538,0
"89","West",1977,0,0
"90","West",1978,0,0
"91","West",1979,0,0
"92","West",1980,0.915750915750916,0
"93","West",1981,2.67094017094017,0
"94","West",1982,6.41025641025641,0
"95","West",1983,498.251748251748,0
"96","West",1984,2573.18376068376,0
"97","West",1985,300.699300699301,0
"98","West",1986,44.8717948717949,0
"99","West",1987,21.3675213675214,2603.63247863248
"100","West",1988,0,4312.5
"101","West",1989,0,2660.25641025641
"102","West",1990,0,2041.37529137529
"103","West",1991,0.582750582750583,2216.78321678322
"104","West",1992,0,2915.59829059829
"105","West",1993,0,484.508547008547
"106","West",1994,0,1934.82905982906
"107","West",1995,1.16550116550117,371.212121212121
"108","West",1996,2.18531468531469,573.863636363636
"109","West",1997,46.875,1632.21153846154
"110","West",1998,6.41025641025641,450.320512820513
"111","West",1999,2.00320512820513,1917.86858974359
"112","West",2000,0.400641025641026,1125.80128205128
"113","West",2001,0.801282051282051,2705.52884615385
"114","West",2002,0,3390.625
"115","West",2003,32.6923076923077,3701.44230769231
"116","West",2004,45.6730769230769,2682.69230769231
"117","West",2005,0.801282051282051,2943.91025641026
"118","West",2006,2.40384615384615,5342.14743589744
"119","West",2007,0.801282051282051,4012.41987179487
"120","West",2008,0,8843.75
"121","West",2009,0,9590.14423076923
"122","West",2010,0.400641025641026,4937.90064102564
"123","West",2011,4.00641025641026,1519.23076923077
"124","West",2012,2.40384615384615,3534.05448717949
"125","West",2013,0,8316.10576923077
"126","West",2014,0,12621.7948717949
"127","West",2015,0,7396.23397435897
"128","West",2016,0,4006.8108974359
"129","West",2017,10.8173076923077,2538.86217948718
"130","West",2018,1.6025641025641,2829.72756410256
"131","West",2019,0.801282051282051,4768.42948717949
"132","West",2020,3.2051282051282,5384.0811965812
