MonthYear,Analyte,C10A,C3A,D10,D12,D16,D22,D26,D28A,D4,D41,D6,D7,D8,MD10A,P8
2000-03-01T08:00:00Z,Secchi,NA,50,56,48,48,46,68,74,42,56,32,32,44,68,70
2000-04-01T08:00:00Z,Secchi,NA,116,21,36,66,42,78,80,40,76,39,16,26,59,62
2000-05-01T07:00:00Z,Secchi,NA,80,28,44,70,38,88,92,38,56,42,18,22,70,60
2000-06-01T07:00:00Z,Secchi,NA,100,20,40,60,28,56,94,24,100,24,20,16,88,48
2000-07-01T07:00:00Z,Secchi,NA,82,26,42,40,30,54,91,30,80,46,20,34,70,43
2000-08-01T07:00:00Z,Secchi,NA,100,32,40,66,50,76,102,24,80,40,20,20,80,60
2000-09-01T07:00:00Z,Secchi,NA,84,35,35,48,50,72,72,35,104,69,NA,53,68,52
2000-10-01T07:00:00Z,Secchi,NA,120,NA,NA,58,38,60,108,38,128,60,35,40,98,56
2000-11-01T08:00:00Z,Secchi,NA,100,36,38,80,22,78,110,20,110,56,34,32,108,60
2000-12-01T08:00:00Z,Secchi,NA,100,36,76,100,52,98,140,40,76,52,NA,38,156,100
2001-01-01T08:00:00Z,Secchi,NA,104,50,62,136,56,122,206,58,78,56,46,36,152,95
2001-02-01T08:00:00Z,Secchi,NA,40,36,32,32,26,58,128,38,56,40,38,40,80,78
2001-03-01T08:00:00Z,Secchi,NA,24,20,36,28,58,32,76,24,114,54,16,18,72,58
2001-04-01T08:00:00Z,Secchi,NA,96,21,30,52,45,80,19.4,45,119,42,28,32,60,48
2001-05-01T07:00:00Z,Secchi,NA,100,36,34,47,28,60,42,34,75,70,37,30,59,50
2001-06-01T07:00:00Z,Secchi,NA,78,56,38,35,42,53,60,36,138,59,20,42,74,78
2001-07-01T07:00:00Z,Secchi,NA,86,50,41,45,27,58,47,38,118,42,39,42,71,52
2001-08-01T07:00:00Z,Secchi,NA,100,37,50,50,36,62,76,44,114,44,24,46,84,58
2001-09-01T07:00:00Z,Secchi,NA,76,54,52,60,38,74,84,34,96,53,61,39,86,58
2001-10-01T07:00:00Z,Secchi,NA,120,34,52,60,32,72,84,36,118,68,36,36,88,60
2001-11-01T08:00:00Z,Secchi,NA,158,44,60,80,36,108,136,48,92,72,40,36,116,80
2001-12-01T08:00:00Z,Secchi,NA,20,16,18,38,20,44,72,18,38,32,28,16,138,106
2002-01-01T08:00:00Z,Secchi,NA,18,20,28,18,18,20,NA,18,68,32,22,16,56,32
2002-02-01T08:00:00Z,Secchi,NA,40,74,38,60,50,52,78,34,90,52,34,38,90,72
2002-03-01T08:00:00Z,Secchi,NA,96,26,36,46,34,60,46,36,54,50,38,36,116,74
2002-04-01T08:00:00Z,Secchi,NA,104,24,52,76,44,98,76,32,90,44,28,24,70,72
2002-05-01T07:00:00Z,Secchi,NA,120,24,22,40,32,72,80,22,112,46,16,28,68,76
2002-06-01T07:00:00Z,Secchi,NA,108,24,34,52,28,58,72,24,94,54,28,32,76,56
