Station,Index
305,1
306,1
307,1
308,1
309,1
310,1
311,1
314,1
315,1
321,1
322,1
323,1
325,1
326,1
327,1
328,1
329,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
401,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
501,1
502,1
503,1
504,1
505,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
515,1
516,1
517,1
518,1
519,1
601,1
602,1
603,1
604,1
605,1
606,1
608,1
701,1
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
802,1
804,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
815,1
902,1
903,1
904,1
905,1
906,1
908,1
909,1
910,1
911,1
912,1
913,1
914,1
915,1
72,
73,
341,
712,1990
713,1990
715,1990
716,1991
717,1990
719,2009
721,2010
723,2009
724,
735,
736,
794,
795,2009
796,2009
797,2009
919,
920,
921,
922,
923,
