MonthYear,Analyte,C10A,C3A,D10,D12,D16,D22,D26,D28A,D4,D41,D6,D7,D8,MD10A,P8
1998-03-01T08:00:00Z,DissNitrateNitrite,0.73,0.19,NA,NA,NA,NA,0.64,0.9,0.34,0.36,0.44,0.34,0.48,1.2,0.72
1998-04-01T08:00:00Z,DissNitrateNitrite,0.4,0.16,NA,NA,NA,NA,0.35,0.43,0.27,0.1,0.27,0.26,0.29,0.47,0.37
1998-05-01T07:00:00Z,DissNitrateNitrite,0.5,0.12,NA,NA,NA,NA,0.34,0.58,0.25,0.16,0.28,0.25,0.27,0.46,0.63
1998-06-01T07:00:00Z,DissNitrateNitrite,0.3,0.09,NA,NA,NA,NA,0.22,0.44,0.15,0.18,0.19,0.18,0.18,0.3,0.39
1998-07-01T07:00:00Z,DissNitrateNitrite,0.3,0.11,NA,NA,NA,NA,0.26,0.43,0.23,0.24,0.23,0.15,0.22,0.3,0.4
1998-08-01T07:00:00Z,DissNitrateNitrite,1.2,0.08,NA,NA,NA,NA,0.2,0.19,0.22,0.23,0.29,0.27,0.27,0.12,1
1998-09-01T07:00:00Z,DissNitrateNitrite,0.83,0.11,NA,NA,NA,NA,0.2,0.18,0.19,0.22,0.24,0.25,0.21,0.15,0.91
1998-10-01T07:00:00Z,DissNitrateNitrite,0.75,0.13,NA,NA,NA,NA,0.32,0.29,0.28,0.27,0.3,NA,0.31,0.4,0.78
1998-11-01T08:00:00Z,DissNitrateNitrite,1.8,0.19,NA,NA,NA,NA,0.37,0.42,0.33,0.31,0.36,0.38,0.37,0.79,1.6
1998-12-01T08:00:00Z,DissNitrateNitrite,1.1,0.18,NA,NA,NA,NA,0.47,0.88,0.23,0.3,0.3,0.25,0.27,1,1
1999-01-01T08:00:00Z,DissNitrateNitrite,1.5,0.22,NA,NA,NA,NA,0.6,1.7,0.35,0.33,0.35,0.36,0.39,1.1,1.4
1999-02-01T08:00:00Z,DissNitrateNitrite,0.81,0.2,NA,NA,NA,NA,NA,NA,0.36,0.4,0.36,0.36,0.42,NA,NA
1999-03-01T08:00:00Z,DissNitrateNitrite,0.74,0.1,NA,NA,NA,NA,0.2,0.69,0.12,0.24,0.17,0.14,0.16,0.74,0.84
1999-04-01T08:00:00Z,DissNitrateNitrite,1.2,0.17,NA,NA,NA,NA,0.28,0.39,0.24,0.26,0.26,0.23,0.25,0.23,1.3
1999-05-01T07:00:00Z,DissNitrateNitrite,0.74,0.12,NA,NA,NA,NA,0.42,0.45,0.26,0.28,0.3,0.29,0.28,0.13,0.96
1999-06-01T07:00:00Z,DissNitrateNitrite,1.4,0.11,NA,NA,NA,NA,0.29,0.44,0.31,0.37,0.43,0.38,0.37,0.12,1.3
1999-07-01T07:00:00Z,DissNitrateNitrite,1.7,0.05,NA,NA,NA,NA,0.22,0.33,0.28,0.4,0.48,0.48,0.45,0.3,1.3
1999-08-01T07:00:00Z,DissNitrateNitrite,2.4,0.06,NA,NA,NA,NA,0.09,0.16,0.21,0.36,0.42,0.38,0.31,0.12,1.7
1999-09-01T07:00:00Z,DissNitrateNitrite,2.4,0.1,NA,NA,NA,NA,0.18,0.14,0.29,0.22,0.37,0.36,0.34,0.15,1.9
1999-10-01T07:00:00Z,DissNitrateNitrite,1.8,0.11,NA,NA,NA,NA,0.22,0.2,0.33,0.16,0.29,0.32,0.34,0.23,2.1
1999-11-01T08:00:00Z,DissNitrateNitrite,2.2,0.12,NA,NA,NA,NA,0.26,0.28,0.34,0.25,0.35,0.36,0.37,0.34,2.3
1999-12-01T08:00:00Z,DissNitrateNitrite,1.8,0.15,NA,NA,NA,NA,0.32,0.42,0.32,0.34,0.37,0.39,0.38,0.6,2.8
2000-01-01T08:00:00Z,DissNitrateNitrite,1.6,0.14,NA,NA,NA,NA,0.27,0.35,0.38,0.34,0.41,0.43,0.42,0.39,2.7
2000-02-01T08:00:00Z,DissNitrateNitrite,2.4,0.2,NA,NA,NA,NA,0.42,0.56,0.39,0.4,0.4,0.35,0.46,0.86,1.1
2000-03-01T08:00:00Z,DissNitrateNitrite,0.12,0.12,NA,NA,NA,NA,0.32,0.46,0.17,0.24,0.26,0.2,0.26,0.19,0.18
2000-04-01T08:00:00Z,DissNitrateNitrite,1.2,0.14,NA,NA,NA,NA,0.29,0.3,0.26,0.2,0.27,0.32,0.23,0.16,1.1
2000-05-01T07:00:00Z,DissNitrateNitrite,0.88,0.08,NA,NA,NA,NA,0.41,0.42,0.23,0.23,0.27,0.21,0.26,0.33,0.76
2000-06-01T07:00:00Z,DissNitrateNitrite,1.2,0.1,NA,NA,NA,NA,0.34,0.34,0.41,0.29,0.42,0.44,0.43,0.27,1.3
2000-07-01T07:00:00Z,DissNitrateNitrite,2.1,0.07,NA,NA,NA,NA,0.22,0.22,0.35,0.32,0.44,0.45,0.42,0.15,1.6
2000-08-01T07:00:00Z,DissNitrateNitrite,1.8,0.07,NA,NA,NA,NA,0.16,0.13,0.25,0.38,0.41,0.38,0.3,0.13,1.5
2000-09-01T07:00:00Z,DissNitrateNitrite,1.9,0.08,NA,NA,NA,NA,0.18,0.08,0.28,0.26,0.38,0.37,0.32,0.21,1.5
2000-10-01T07:00:00Z,DissNitrateNitrite,1,0.1,NA,NA,NA,NA,0.23,1.5,0.33,0.17,0.32,0.35,0.35,0.16,0.22
2000-11-01T08:00:00Z,DissNitrateNitrite,1.4,0.17,NA,NA,NA,NA,0.35,0.4,0.39,0.28,0.38,0.4,0.39,0.59,1.4
