MonthYear,Analyte,C10A,C3A,D26,D28A,D4,D41,D6,D7,D8,MD10A,P8
1975-01-01T08:00:00Z,Secchi,74,66,61,NA,51,NA,64,33,38,36,NA
1975-02-01T08:00:00Z,Secchi,43,20,38,36,46,NA,28,33,41,38,71
1975-03-01T07:00:00Z,Secchi,38,20,25,36,23,NA,15,15,18,23,33
1975-04-01T07:00:00Z,Secchi,34.5,25.5,31.5,30.5,27,NA,23,17.5,20.5,26.5,39.5
1975-05-01T07:00:00Z,Secchi,33,42,44.5,43,36,NA,25.5,21.5,25,30,43
1975-06-01T07:00:00Z,Secchi,32,54.5,41,27.5,35.5,NA,49.5,24,35.5,24,38.5
1975-07-01T07:00:00Z,Secchi,24,55,42,35.5,29,NA,129.5,25.5,30.5,21.5,47
1975-08-01T07:00:00Z,Secchi,NA,NA,49.5,42,22.5,NA,67,20,25.5,38,37
1975-09-01T07:00:00Z,Secchi,38,66,49.5,48,31.5,NA,58.5,24,30.5,37,51
1975-10-01T07:00:00Z,Secchi,62.5,78.5,65,48,46,NA,NA,23,26.5,35.5,49.5
1975-11-01T08:00:00Z,Secchi,66,58,79,53,56,NA,53,20,23,36,69
1975-12-01T08:00:00Z,Secchi,76,81,74,81,64,NA,53,33,46,48,76
1976-01-01T08:00:00Z,Secchi,38,91,104,71,79,NA,79,43,66,41,61
1976-02-01T08:00:00Z,Secchi,56,76,81,71,43,NA,58,41,43,41,66
1976-03-01T08:00:00Z,Secchi,42,59.5,52,57,26.5,NA,39.5,26.5,22.5,34.5,58.5
1976-04-01T08:00:00Z,Secchi,36,72.5,59.5,58.5,21.5,NA,54.5,24,25.5,43.5,50.5
1976-05-01T07:00:00Z,Secchi,22.5,77.5,49.5,39.5,28,NA,75,24,36,NA,43
1976-06-01T07:00:00Z,Secchi,24,81,57,41,34.5,NA,86,25,42,29,NA
1976-07-01T07:00:00Z,Secchi,19,65,53,50.5,34,NA,107,31.5,64.5,34,42
1976-08-01T07:00:00Z,Secchi,27,74,58.5,49.5,38,NA,111.5,33,47,37,39.5
1976-09-01T07:00:00Z,Secchi,38,62,67.5,54.5,45.5,NA,113,48.5,80,44.5,48
1976-10-01T07:00:00Z,Secchi,46,81.5,71,53.5,41,NA,132,43,66,49.5,44.5
1976-11-01T08:00:00Z,Secchi,46,97,87.5,69,48.5,NA,96.5,48.5,63.5,51,53
1976-12-01T08:00:00Z,Secchi,76,117,86,66,46,NA,79,48,74,41,46
1977-01-01T08:00:00Z,Secchi,53,91,74,64,51,NA,84,41,66,41,56
1977-02-01T08:00:00Z,Secchi,61,88,71,69,52,NA,69,48,64,40,51
1977-03-01T08:00:00Z,Secchi,50,72.5,45,50,28,NA,67,40.5,53,38,44.5
1977-04-01T08:00:00Z,Secchi,37,65,44,45,31.5,NA,98,39,49,29,43
1977-05-01T07:00:00Z,Secchi,33,75.5,42,53,42,NA,130,72,77,28,37
1977-06-01T07:00:00Z,Secchi,36,76,60,70,36,NA,120,54,88,33,28
1977-07-01T07:00:00Z,Secchi,24,74,58,57,34,NA,121,67,74,42,32
1977-08-01T07:00:00Z,Secchi,24,87,60,39,29,NA,98,52,82,37,40
1977-09-01T07:00:00Z,Secchi,22.5,82.5,76,NA,49,NA,113,70,118,45,NA
1977-10-01T07:00:00Z,Secchi,30.5,68,68,56,36,NA,127,49.5,80.5,49,48
1977-11-01T08:00:00Z,Secchi,44,97,68,66,40,NA,92,54,80,48,54
1977-12-01T08:00:00Z,Secchi,50,84,66,64,48,NA,98,44,69,56,47
1978-01-01T08:00:00Z,Secchi,22,11,14,30,10,NA,12,14,6,12,28
1978-02-01T08:00:00Z,Secchi,16,11,20,28,20,NA,12,12,14,20,24
